211;Siempre a tu lado (Hachiko);2009;8.1;236,383;T;1h 33min;Drama, Family;8.5;8.3;8.0;7.7
212;La pasión de Juana de Arco;1928;8.1;43,399;13;1h 50min;Biography, Drama, History;7.7;8.2;8.1;8.3
213;Rush;2013;8.1;410,454;12;2h 3min;Biography, Drama, Sport;8.1;8.3;8.0;7.8
214;Ben-Hur;1959;8.1;209,022;T;3h 32min;Adventure, Drama, History;8.2;8.1;8.0;8.2
215;Logan;2017;8.1;603,685;16;2h 17min;Action, Drama, Sci-Fi;8.7;8.3;7.9;7.7
216;Andrei Rublev;1966;8.2;42,162;NC;3h 25min;Biography, Drama, History;8.2;8.3;8.1;8.1
217;Harry Potter y las Reliquias de la Muerte - Parte 2;2011;8.1;721,647;7;2h 10min;Adventure, Drama, Fantasy;8.5;8.3;7.9;7.8
218;El club de los poetas muertos;1989;8.1;393,892;13;2h 8min;Comedy, Drama;8.5;8.2;8.0;8.0
219;Rang De Basanti;2006;8.2;104,872;NC;2h 47min;Comedy, Drama;7.4;8.5;8.0;6.1
220;Los cuatrocientos golpes;1959;8.1;97,318;A;1h 32min;Crime, Drama;8.2;8.2;8.0;8.1
221;Nausicaä del Valle del Viento;1984;8.1;136,139;PG;1h 57min;Animation, Adventure, Fantasy;8.0;8.1;8.1;7.9
222;Amores perros;2000;8.1;213,537;18;2h 34min;Drama, Thriller;7.7;8.1;8.1;8.0
223;Hotel Rwanda;2004;8.1;322,635;PG-13;2h 1min;Biography, Drama, History;7.9;8.1;8.1;7.9
224;Spotlight;2015;8.1;389,574;12;2h 9min;Biography, Crime, Drama;7.9;8.2;8.0;8.0
225;La doncella;2016;8.1;93,718;16;2h 25min;Drama, Romance, Thriller;8.5;8.3;7.9;7.8
226;Rebeca;1940;8.1;115,421;13;2h 10min;Drama, Mystery, Romance;8.1;8.1;8.0;8.2
227;Rocky;1976;8.1;493,003;18;2h;Drama, Sport;8.2;8.1;8.0;8.0
228;Monstruos, S.A.;2001;8.0;774,808;T;1h 32min;Animation, Adventure, Comedy;8.1;8.2;8.0;8.0
229;El odio;1995;8.1;137,954;18;1h 38min;Crime, Drama;8.5;8.2;8.1;7.7
230;Sucedió una noche;1934;8.1;88,369;A;1h 45min;Comedy, Romance;8.1;8.1;8.0;8.1
231;El gran carnaval;1951;8.1;28,109;A;1h 51min;Drama, Film-Noir;7.2;8.3;8.1;8.1
232;Las zapatillas rojas;1948;8.2;27,977;T;2h 15min;Drama, Music, Romance;7.1;8.3;8.1;8.0
233;La princesa prometida;1987;8.1;374,199;A;1h 38min;Adventure, Family, Fantasy;8.2;7.9;8.0;8.2
234;Antes del atardecer;2004;8.0;219,279;13;1h 20min;Drama, Romance;8.4;8.2;8.0;7.6
235;Deseando amar;2000;8.1;113,197;13;1h 38min;Drama, Romance;8.3;8.2;8.0;7.9
236;Criadas y señoras;2011;8.1;406,665;PG-13;2h 26min;Drama;8.0;8.2;8.0;8.0
237;Gangs of Wasseypur;2012;8.2;73,582;NC;5h 21min;Action, Comedy, Crime;6.7;8.7;7.9;5.7
238;Lagaan: Érase una vez en la India;2001;8.1;98,066;T;3h 44min;Adventure, Drama, Musical;8.5;8.4;8.0;7.0
239;Al rojo vivo;1949;8.1;27,625;NC;1h 54min;Action, Crime, Drama;6.9;8.1;8.1;8.2
240;Terminator;1984;8.0;765,455;18;1h 47min;Action, Sci-Fi;8.1;7.9;8.1;8.2
241;Dos hombres y un destino;1969;8.0;194,584;14;1h 50min;Biography, Crime, Drama;8.2;8.1;8.0;8.1
242;París, Texas;1984;8.1;80,706;A;2h 25min;Drama;8.9;8.3;8.0;7.9
243;Akira;1988;8.0;152,128;13;2h 4min;Animation, Drama, Sci-Fi;8.2;8.1;8.0;7.7
244;Aladdín;1992;8.0;349,190;A;1h 30min;Animation, Adventure, Comedy;7.9;8.0;8.0;7.7
